station_id,start_time,end_time,total_energy_kWh
EVITDLDC003,2025-11-30T23:34:00+00:00,2025-12-01T00:39:00+00:00,16.270000
EVITDLDC009,2025-11-30T20:28:00+00:00,2025-11-30T20:41:00+00:00,2.910000
EVITDLDC004,2025-11-30T10:19:00+00:00,2025-11-30T11:08:00+00:00,1.360000
EVITDLAC004,2025-11-30T04:06:00+00:00,2025-11-30T07:35:00+00:00,3.150000
EVITDLAC004,2025-11-30T02:56:00+00:00,2025-11-30T03:30:00+00:00,1.060000
EVITDLAC004,2025-11-30T02:20:00+00:00,2025-11-30T02:50:00+00:00,0.970000
EVITDLAC004,2025-11-30T00:06:00+00:00,2025-11-30T02:14:00+00:00,4.630000
EVITDLDC010,2025-11-29T23:39:00+00:00,2025-11-30T00:04:00+00:00,1.700000
EVITDLDC010,2025-11-29T22:57:00+00:00,2025-11-29T23:27:00+00:00,2.480000
EVITDLAC005,2025-11-29T22:24:00+00:00,2025-11-29T22:25:00+00:00,0.040000
EVITDLDC004,2025-11-29T22:20:00+00:00,2025-11-29T22:28:00+00:00,0.430000
EVITDLDC004,2025-11-29T21:52:00+00:00,2025-11-29T22:14:00+00:00,0.620000
EVITDLDC003,2025-11-29T19:51:00+00:00,2025-11-29T20:30:00+00:00,19.010000
EVITDLDC009,2025-11-29T18:32:00+00:00,2025-11-29T18:40:00+00:00,2.870000
EVITDLDC009,2025-11-29T18:09:00+00:00,2025-11-29T18:12:00+00:00,0.320000
EVITDLDC004,2025-11-29T18:00:00+00:00,2025-11-29T18:08:00+00:00,17.700000
EVITDLDC003,2025-11-29T17:14:00+00:00,2025-11-29T17:50:00+00:00,11.050000
EVITDLDC006,2025-11-29T14:50:00+00:00,2025-11-29T20:26:00+00:00,3.000000
EVITDLDC003,2025-11-29T12:54:00+00:00,2025-11-29T13:20:00+00:00,7.660000
EVITDLDC003,2025-11-29T12:20:00+00:00,2025-11-29T12:46:00+00:00,5.600000
EVITDLDC005,2025-11-29T12:07:00+00:00,2025-11-29T12:13:00+00:00,2.500000
EVITDLDC005,2025-11-29T11:19:00+00:00,2025-11-29T11:56:00+00:00,16.730000
EVITDLDC009,2025-11-29T10:40:00+00:00,2025-11-29T12:31:00+00:00,45.690000
EVITDLDC004,2025-11-29T07:35:00+00:00,2025-11-29T09:24:00+00:00,5.010000
EVITDLDC003,2025-11-29T05:16:00+00:00,2025-11-29T06:14:00+00:00,15.020000
EVITDLDC003,2025-11-28T22:25:00+00:00,2025-11-28T23:45:00+00:00,12.470000
EVITDLAC004,2025-11-28T22:13:00+00:00,2025-11-28T22:34:00+00:00,1.160000
EVITDLAC005,2025-11-28T21:32:00+00:00,2025-11-28T21:58:00+00:00,0.930000
EVITDLAC005,2025-11-28T21:32:00+00:00,2025-11-28T21:55:00+00:00,1.020000
EVITDLAC004,2025-11-28T20:43:00+00:00,2025-11-28T22:11:00+00:00,4.670000
EVITDLDC006,2025-11-28T19:52:00+00:00,2025-11-29T14:43:00+00:00,3.350000
EVITDLDC003,2025-11-28T18:21:00+00:00,2025-11-28T19:10:00+00:00,9.360000
EVITDLDC010,2025-11-28T18:15:00+00:00,2025-11-28T18:33:00+00:00,2.400000
EVITDLAC005,2025-11-28T18:13:00+00:00,2025-11-28T18:30:00+00:00,0.770000
EVITDLDC006,2025-11-28T15:16:00+00:00,2025-11-28T15:34:00+00:00,1.320000
EVITDLDC004,2025-11-28T14:46:00+00:00,2025-11-28T15:39:00+00:00,0.990000
EVITDLAC005,2025-11-28T13:42:00+00:00,2025-11-28T14:30:00+00:00,1.410000
EVITDLDC005,2025-11-28T13:03:00+00:00,2025-11-28T14:18:00+00:00,25.180000
EVITDLDC005,2025-11-28T11:13:00+00:00,2025-11-28T12:33:00+00:00,11.640000
EVITDLDC005,2025-11-28T10:05:00+00:00,2025-11-28T10:38:00+00:00,6.690000
EVITDLDC004,2025-11-28T08:17:00+00:00,2025-11-28T10:04:00+00:00,1.870000
EVITDLDC009,2025-11-28T00:18:00+00:00,2025-11-28T01:14:00+00:00,19.380000
EVITDLDC004,2025-11-27T23:01:00+00:00,2025-11-27T23:10:00+00:00,0.110000
EVITDLDC009,2025-11-27T18:51:00+00:00,2025-11-27T19:45:00+00:00,13.690000
EVITDLDC010,2025-11-27T18:13:00+00:00,2025-11-27T19:04:00+00:00,3.520000
EVITDLAC005,2025-11-27T17:43:00+00:00,2025-11-27T18:39:00+00:00,2.110000
EVITDLDC004,2025-11-27T16:08:00+00:00,2025-11-27T18:15:00+00:00,3.410000
EVITDLDC004,2025-11-27T15:41:00+00:00,2025-11-27T16:06:00+00:00,1.210000
EVITDLDC003,2025-11-27T13:53:00+00:00,2025-11-27T15:06:00+00:00,19.720000
EVITDLAC005,2025-11-27T10:09:00+00:00,2025-11-27T10:55:00+00:00,2.550000
EVITDLAC005,2025-11-27T09:13:00+00:00,2025-11-27T10:05:00+00:00,2.730000
EVITDLDC004,2025-11-27T07:41:00+00:00,2025-11-27T08:28:00+00:00,0.160000
EVITDLAC005,2025-11-27T05:57:00+00:00,2025-11-27T07:13:00+00:00,1.740000
EVITDLDC003,2025-11-27T00:48:00+00:00,2025-11-27T00:53:00+00:00,2.190000
EVITDLDC010,2025-11-26T21:54:00+00:00,2025-11-26T22:29:00+00:00,2.810000
EVITDLDC010,2025-11-26T21:16:00+00:00,2025-11-26T21:34:00+00:00,1.810000
EVITDLDC003,2025-11-26T19:45:00+00:00,2025-11-26T20:02:00+00:00,7.540000
EVITDLAC005,2025-11-26T19:44:00+00:00,2025-11-26T19:59:00+00:00,0.190000
EVITDLAC005,2025-11-26T19:02:00+00:00,2025-11-26T19:51:00+00:00,2.290000
EVITDLAC005,2025-11-26T18:11:00+00:00,2025-11-26T18:59:00+00:00,2.220000
EVITDLAC008,2025-11-26T17:42:00+00:00,2025-11-26T19:30:00+00:00,5.110000
EVITDLDC005,2025-11-26T16:17:00+00:00,2025-11-26T16:41:00+00:00,11.110000
EVITDLAC005,2025-11-26T15:52:00+00:00,2025-11-26T16:41:00+00:00,1.910000
EVITDLDC003,2025-11-26T13:49:00+00:00,2025-11-26T15:11:00+00:00,9.820000
EVITDLDC004,2025-11-26T13:43:00+00:00,2025-11-26T15:11:00+00:00,2.790000
EVITDLDC003,2025-11-26T12:02:00+00:00,2025-11-26T13:16:00+00:00,20.670000
EVITDLDC010,2025-11-25T18:43:00+00:00,2025-11-25T19:32:00+00:00,4.320000
EVITDLDC003,2025-11-25T16:20:00+00:00,2025-11-25T17:02:00+00:00,13.040000
EVITDLDC003,2025-11-25T15:42:00+00:00,2025-11-25T15:54:00+00:00,2.640000
EVITDLDC004,2025-11-25T13:03:00+00:00,2025-11-25T13:41:00+00:00,1.770000
EVITDLDC004,2025-11-25T09:37:00+00:00,2025-11-25T11:17:00+00:00,4.460000
EVITDLDC003,2025-11-25T08:55:00+00:00,2025-11-25T09:34:00+00:00,16.690000
EVITDLDC009,2025-11-24T23:41:00+00:00,2025-11-25T00:39:00+00:00,17.200000
EVITDLDC003,2025-11-24T23:13:00+00:00,2025-11-24T23:57:00+00:00,21.390000
EVITDLAC005,2025-11-24T21:59:00+00:00,2025-11-24T22:19:00+00:00,0.870000
EVITDLDC004,2025-11-24T20:10:00+00:00,2025-11-25T09:34:00+00:00,1.690000
EVITDLDC003,2025-11-24T18:52:00+00:00,2025-11-24T19:40:00+00:00,8.750000
EVITDLDC004,2025-11-24T17:23:00+00:00,2025-11-24T17:35:00+00:00,0.960000
EVITDLDC003,2025-11-24T11:07:00+00:00,2025-11-24T11:48:00+00:00,9.380000
EVITDLDC004,2025-11-24T11:00:00+00:00,2025-11-24T11:30:00+00:00,0.770000
EVITDLDC009,2025-11-24T10:43:00+00:00,2025-11-24T12:26:00+00:00,41.510000
EVITDLAC005,2025-11-24T10:20:00+00:00,2025-11-24T10:57:00+00:00,1.370000
EVITDLAC008,2025-11-24T10:12:00+00:00,2025-11-24T10:30:00+00:00,0.650000
EVITDLAC008,2025-11-24T09:44:00+00:00,2025-11-24T10:00:00+00:00,0.590000
EVITDLDC009,2025-11-24T09:08:00+00:00,2025-11-24T09:35:00+00:00,9.350000
